RecordNo,caseid,age,gender,region_grouped_IT,Q3,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q5_1,Q5_2,Q5a,Q6,Q7,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q9,Q10,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_7,Q11_8,Q11_9,Q11_10,Q11_11,Q11_12,Q11_13,Q11_14,S3,S4,S5_1,S5_2,S5_3,S5_6,S5_8,S5_22,S5_9,S5_10,S5_11,S5_23,S5_12,S5_13,S5_14,S5_17,S5_18,S5_19,S5_20,S5_29,S5_30,S5_31,S5_33,S5_26,S5_99,Q1,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q2_7,Q2_8,Q2_9,Q2_10,Q2_11,Q2_12,segment,age_yks,S3_yks,S4_yks,Q3_yks,Q4_yks,weight
491,7405290434,54,Male,North west,I generally do not follow basketball, , , , , , ,Neither likely nor unlikely,Very unlikely,I prefer a team that represents Milan as a city rather than one football club,Decrease my interest, ,No,No,No,No,No,Yes, ,"Because it represents Milan, regardless of club",No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,15.000€ to 19.999€ per year,Milano,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,I feel negatively towards AC Milan,No,No,No,Yes,No,No,No,No,No,No,Yes,No,Inter Milan Fan,35-54,"0-24,999€",Milan,Unaware, ,1.023529412
492,7405850226,42,Female,North west,I generally do not follow basketball, , , , , , ,Neither likely nor unlikely,Neither likely nor unlikely, ,No change, ,No,No,No,No,No,Yes, ,Because it is Italy's team in the league,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,60.000€ to 69.999€ per year,Milano,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,AC Milan is my club; I strongly identify as a supporter,No,No,No,No,No,No,No,No,No,Yes,No,No,AC Milan Fan,35-54,"50,000€ +",Milan,Unaware, ,0.920240964
493,7405574750,45,Male,North west,I watch basketball occasionally,Yes,No,No,No,No,No,Somewhat likely,Neither likely nor unlikely,Other/not sure,No change, ,No,Yes,No,No,No,No,Watch games via paid TV or streaming service,"Because it represents Milan, regardless of club",No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,25.000€ to 29.999€ per year,Milano,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,I feel positively towards AC Milan,No,No,Yes,No,No,No,No,No,No,No,No,No,Other Serie A Fan,35-54,"25-49,999€",Milan,Overall Interested,Watcher,1.004081633
494,7405512536,52,Female,North west,"I follow basketball regularly, but it's secondary",No,No,Yes,No,No,No,Somewhat likely,Somewhat likely, ,Slightly increase my interest, ,No,No,No,Yes,No,No,Attend a game in person,Because it is Italy's team in the league,No,No,No,No,No,No,Yes,No,Yes,No,No,No,Yes,No,10.000€ to 14.999€ per year,Milano,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,AC Milan is my club; I strongly identify as a supporter,No,No,No,No,No,Yes,No,No,No,No,No,No,AC Milan Fan,35-54,"0-24,999€",Milan,Overall Interested,Watcher,0.920240964
495,7405574752,28,Female,North west,I watch basketball occasionally,Yes,No,No,No,No,No,Neither likely nor unlikely,Neither likely nor unlikely, ,Slightly increase my interest,Because it gives me a reason to care about basketball,No,No,No,Yes,No,No,Attend a game in person,Because it is Italy's team in the league,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,25.000€ to 29.999€ per year,Milano,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,I feel neutral towards AC Milan,No,No,Yes,No,No,No,No,No,No,No,No,No,Other Serie A Fan,18-34,"25-49,999€",Milan,Overall Interested,Watcher,0.993939394
496,7403642568,63,Male,North west,I generally do not follow basketball, , , , , , ,Neither likely nor unlikely,Very unlikely,I support a different football club and therefore would be less interested,Decrease my interest, ,No,No,No,No,No,Yes, ,I would not support a Milan NBA team,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,50.000€ to 59.999€ per year,Milano,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,I feel negatively towards AC Milan,No,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Inter Milan Fan,55+,"50,000€ +",Milan,Unaware, ,1.023529412
497,7405398902,54,Female,North west,I generally do not follow basketball, , , , , , ,Somewhat likely,Somewhat likely, ,Slightly increase my interest,Because it gives me a reason to care about basketball,Yes,No,No,No,Yes,No,Watch games via free TV or streaming,"Because it represents Milan, regardless of club",No,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,35.000€ to 39.999€ per year,Milano,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,I feel positively towards AC Milan,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,Other Serie A Fan,35-54,"25-49,999€",Milan,Unaware, ,0.993939394
498,7405474284,55,Male,North west,Basketball is one of my top sports,No,Yes,No,No,No,No,Neither likely nor unlikely,Very unlikely,I support a different football club and therefore would be less interested,Decrease my interest, ,No,No,No,No,No,Yes, ,I would not support a Milan NBA team,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,60.000€ to 69.999€ per year,Milano,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,AC Milan is my club; I strongly identify as a supporter,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,No,No,AC Milan Fan,55+,"50,000€ +",Milan,Overall Interested,Watcher,1.056101695
499,7405797030,71,Male,North west,I generally do not follow basketball, , , , , , ,Somewhat unlikely,Very unlikely,I support a different football club and therefore would be less interested,No change, ,No,No,Yes,No,No,No,Follow highlights and social media,"Because it represents Milan, regardless of club",No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,70.000€ to 99.999€ per year,Milano,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,I feel negatively towards AC Milan,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,Inter Milan Fan,55+,"50,000€ +",Milan,Unaware, ,1.023529412
500,7405512556,53,Male,North west,I watch basketball occasionally,Yes,No,No,No,No,No,Somewhat likely,Somewhat unlikely,I support a different football club and therefore would be less interested,No change, ,No,No,No,No,No,Yes, ,Because it is Italy's team in the league,No,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,70.000€ to 99.999€ per year,Milano,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,I feel neutral towards AC Milan,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Other Serie A Fan,35-54,"50,000€ +",Milan,Overall Interested,Watcher,1.004081633
501,7405638824,26,Male,North west,I generally do not follow basketball, , , , , , ,Very unlikely,Very unlikely, ,No change, ,No,No,No,No,No,Yes, ,I would not support a Milan NBA team,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,under 5.000€ per year,Milano,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,I feel negatively towards AC Milan,No,No,No,No,No,No,Yes,No,No,No,No,No,Inter Milan Fan,18-34,"0-24,999€",Milan,Unaware, ,1.023529412
502,7405474288,63,Male,North west,I generally do not follow basketball, , , , , , ,Very unlikely,Very unlikely, ,No change, ,No,No,No,No,No,Yes, ,I would not support a Milan NBA team,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,20.000€ to 24.999€ per year,Milano,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,"I consider myself an AC Milan supporter, but not a hardcore one",No,No,Yes,No,No,No,Yes,No,No,No,No,No,AC Milan Fan,55+,"0-24,999€",Milan,Unaware, ,1.056101695
503,7405705330,63,Female,North west,I watch basketball occasionally,No,No,Yes,No,No,No,Somewhat likely,Somewhat likely, ,Moderately increase my interest,Because it feels culturally relevant to Milan,No,Yes,No,Yes,No,No,Attend a game in person,"Because it represents Milan, regardless of club",No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,15.000€ to 19.999€ per year,Milano,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,I feel positively towards AC Milan,Yes,No,No,No,No,No,No,No,No,No,No,No,Other Serie A Fan,55+,"0-24,999€",Milan,Overall Interested,Watcher,0.993939394
504,7405945124,61,Male,North west,I watch basketball occasionally,No,No,No,No,No,Yes,Somewhat likely,Very likely, ,Significantly increase my interest,Because I trust and follow AC Milan,Yes,No,Yes,No,No,No,Watch games via free TV or streaming,"Because it represents Milan, regardless of club",No,No,No,No,Yes,No,No,No,Yes,No,Yes,No,No,No,100.000€ to 149.999€ per year,Milano,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,"I consider myself an AC Milan supporter, but not a hardcore one",No,No,No,No,No,No,No,No,No,No,Yes,No,AC Milan Fan,55+,"50,000€ +",Milan,Overall Interested,Non Watcher,1.056101695
505,7405213068,69,Male,North west,"I follow basketball regularly, but it's secondary",No,Yes,Yes,No,No,No,Somewhat likely,Neither likely nor unlikely,I support a different football club and therefore would be less interested,No change, ,No,Yes,No,No,No,No,Watch games via paid TV or streaming service,I would not support a Milan NBA team,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,100.000€ to 149.999€ per year,Milano,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,I feel neutral towards AC Milan,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,No,Inter Milan Fan,55+,"50,000€ +",Milan,Overall Interested,Watcher,1.023529412
506,7405512562,62,Male,North west,I generally do not follow basketball, , , , , , ,Neither likely nor unlikely,Very unlikely,I support a different football club and therefore would be less interested,Decrease my interest, ,No,No,No,No,No,Yes, ,I would not support a Milan NBA team,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Prefer not to answer,Milano,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,I feel negatively towards AC Milan,Yes,No,Yes,No,No,No,Yes,No,No,Yes,No,No,Inter Milan Fan,55+, ,Milan,Unaware, ,1.023529412
507,7405993526,51,Male,North west,I generally do not follow basketball, , , , , , ,Somewhat unlikely,Somewhat unlikely, ,Slightly increase my interest,Other/not sure,No,No,Yes,Yes,No,No,Attend a game in person,Because it is Italy's team in the league,No,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,100.000€ to 149.999€ per year,Milano,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,"I consider myself an AC Milan supporter, but not a hardcore one",No,No,No,No,No,No,Yes,No,No,No,Yes,No,AC Milan Fan,35-54,"50,000€ +",Milan,Unaware, ,1.056101695
508,7405606154,67,Male,North west,I watch basketball occasionally,No,No,No,No,No,Yes,Very unlikely,Very unlikely, ,No change, ,No,No,No,No,No,Yes, ,Because it is Italy's team in the league,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,40.000€ to 44.999€ per year,Milano,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,I feel positively towards AC Milan,No,Yes,No,No,No,No,No,No,No,No,No,No,Inter Milan Fan,55+,"25-49,999€",Milan,Overall Interested,Non Watcher,1.023529412
509,7405705322,44,Male,North west,I watch basketball occasionally,Yes,No,No,No,No,No,Somewhat likely,Neither likely nor unlikely,I support a different football club and therefore would be less interested,No change, ,No,No,No,No,No,Yes, ,"Because it represents Milan, regardless of club",No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,50.000€ to 59.999€ per year,Milano,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,I feel positively towards AC Milan,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Other Serie A Fan,35-54,"50,000€ +",Milan,Overall Interested,Watcher,1.004081633
510,7405945212,73,Male,North west,I generally do not follow basketball, , , , , , ,Somewhat unlikely,Very unlikely,I support a different football club and therefore would be less interested,No change, ,No,No,No,No,No,Yes, ,I would not support a Milan NBA team,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,15.000€ to 19.999€ per year,Milano,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,I feel neutral towards AC Milan,No,No,No,No,Yes,No,No,No,Yes,No,No,No,Inter Milan Fan,55+,"0-24,999€",Milan,Unaware, ,1.023529412
511,7405945120,54,Male,North west,Basketball is one of my top sports,Yes,No,Yes,No,No,No,Very likely,Very likely, ,Significantly increase my interest, ,Yes,No,Yes,Yes,No,No,Watch games via free TV or streaming,"Because it represents Milan, regardless of club",Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,15.000€ to 19.999€ per year,Milano,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,AC Milan is my club; I strongly identify as a supporter,Yes,No,No,Yes,Yes,No,No,No,Yes,Yes,No,No,AC Milan Fan,35-54,"0-24,999€",Milan,Overall Interested,Watcher,1.056101695
512,7405574732,77,Male,North west,I generally do not follow basketball, , , , , , ,Somewhat unlikely,Somewhat likely, ,Slightly increase my interest,Because it feels culturally relevant to Milan,No,No,No,No,No,Yes, ,Because it is affiliated with AC Milan,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,25.000€ to 29.999€ per year,Milano,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,"I consider myself an AC Milan supporter, but not a hardcore one",No,No,No,No,No,No,No,No,No,No,Yes,No,AC Milan Fan,55+,"25-49,999€",Milan,Unaware, ,1.056101695
513,7406186424,46,Female,North west,I generally do not follow basketball, , , , , , ,Very likely,Neither likely nor unlikely,I prefer a team that represents Milan as a city rather than one football club,Decrease my interest, ,No,No,No,No,No,Yes, ,I would not support a Milan NBA team,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,100.000€ to 149.999€ per year,Milano,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,I feel neutral towards AC Milan,No,No,No,No,No,Yes,No,No,No,No,No,No,Inter Milan Fan,35-54,"50,000€ +",Milan,Unaware, ,0.966666667
514,7405895780,54,Male,North west,I watch basketball occasionally,No,No,No,No,Yes,No,Neither likely nor unlikely,Neither likely nor unlikely, ,No change, ,No,No,No,No,No,Yes, ,"Because it represents Milan, regardless of club",No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,60.000€ to 69.999€ per year,Milano,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,I feel neutral towards AC Milan,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,Other Serie A Fan,35-54,"50,000€ +",Milan,Overall Interested,Watcher,1.004081633
515,7405796992,76,Male,North west,I generally do not follow basketball, , , , , , ,Somewhat unlikely,Somewhat unlikely, ,No change, ,No,No,No,No,No,Yes, ,"Because it represents Milan, regardless of club",No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,45.000€ to 49.999€ per year,Milano,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,I feel neutral towards AC Milan,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Other Serie A Fan,55+,"50,000€ +",Milan,Unaware, ,1.004081633
516,7405796974,26,Male,North west,I generally do not follow basketball, , , , , , ,Somewhat unlikely,Somewhat likely, ,Moderately increase my interest,Because I trust and follow AC Milan,Yes,No,Yes,No,No,No,Follow highlights and social media,Because it is affiliated with AC Milan,No,No,No,No,Yes,No,No,No,Yes,No,No,Yes,No,No,Don't know,Milano,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,"I consider myself an AC Milan supporter, but not a hardcore one",Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,AC Milan Fan,18-34, ,Milan,Unaware, ,1.056101695
517,7403386692,60,Male,North west,I watch basketball occasionally,No,No,Yes,No,No,No,Neither likely nor unlikely,Neither likely nor unlikely, ,Slightly increase my interest,Because it gives me a reason to care about basketball,No,No,No,Yes,No,No,Attend a game in person,Because it is Italy's team in the league,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,Prefer not to answer,Milano,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,"I consider myself an AC Milan supporter, but not a hardcore one",No,No,No,No,No,No,No,No,No,No,Yes,No,AC Milan Fan,55+, ,Milan,Overall Interested,Watcher,1.056101695
518,7405797014,59,Female,North west,I watch basketball occasionally,No,No,Yes,No,No,No,Somewhat unlikely,Somewhat unlikely, ,No change, ,No,No,No,No,No,Yes, ,"Because it represents Milan, regardless of club",No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Prefer not to answer,Milano,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,I feel positively towards AC Milan,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Other Serie A Fan,55+, ,Milan,Overall Interested,Watcher,0.993939394
519,7405606140,68,Female,North west,I watch basketball occasionally,No,No,Yes,No,No,No,Somewhat likely,Somewhat likely, ,Moderately increase my interest,Because it feels culturally relevant to Milan,Yes,No,No,No,No,No,Watch games via free TV or streaming,Because it is Italy's team in the league,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,50.000€ to 59.999€ per year,Milano,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,I feel positively towards AC Milan,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,Other Serie A Fan,55+,"50,000€ +",Milan,Overall Interested,Watcher,0.993939394
520,7405993542,68,Female,North west,I watch basketball occasionally,No,No,Yes,No,No,No,Neither likely nor unlikely,Neither likely nor unlikely, ,No change, ,Yes,No,No,No,No,No,Watch games via free TV or streaming,"Because it represents Milan, regardless of club",No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Don't know,Milano,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,I feel neutral towards AC Milan,No,No,Yes,No,No,No,No,No,No,No,No,No,Other Serie A Fan,55+, ,Milan,Overall Interested,Watcher,0.993939394
521,7406222678,47,Female,North west,I generally do not follow basketball, , , , , , ,Neither likely nor unlikely,Neither likely nor unlikely, ,Slightly increase my interest,Other/not sure,No,No,Yes,Yes,Yes,No,Attend a game in person,Because it is Italy's team in the league,No,No,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,20.000€ to 24.999€ per year,Milano,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,"I consider myself an AC Milan supporter, but not a hardcore one",No,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No,AC Milan Fan,35-54,"0-24,999€",Milan,Unaware, ,0.920240964
522,7405362844,65,Male,North west,I watch basketball occasionally,No,No,Yes,No,No,No,Somewhat unlikely,Somewhat unlikely, ,No change, ,No,No,No,No,No,Yes, ,"Because it represents Milan, regardless of club",No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,45.000€ to 49.999€ per year,Milano,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,I feel neutral towards AC Milan,No,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,No,Inter Milan Fan,55+,"50,000€ +",Milan,Overall Interested,Watcher,1.023529412
523,7403553120,29,Female,North west,I watch basketball occasionally,Yes,No,No,Yes,No,No,Neither likely nor unlikely,Neither likely nor unlikely, ,Moderately increase my interest,Because it gives me a reason to care about basketball,No,Yes,Yes,No,No,No,Follow highlights and social media,"Because it represents Milan, regardless of club",No,No,No,No,Yes,No,No,No,Yes,No,Yes,No,No,No,70.000€ to 99.999€ per year,Milano,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,"I consider myself an AC Milan supporter, but not a hardcore one",Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,No,AC Milan Fan,18-34,"50,000€ +",Milan,Overall Interested,Watcher,0.920240964
524,7405895800,53,Female,North west,I generally do not follow basketball, , , , , , ,Somewhat unlikely,Very unlikely,I support a different football club and therefore would be less interested,Decrease my interest, ,No,No,No,No,No,Yes, ,Because it is affiliated with AC Milan,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,50.000€ to 59.999€ per year,Milano,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,I feel negatively towards AC Milan,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,No,No,Inter Milan Fan,35-54,"50,000€ +",Milan,Unaware, ,0.966666667
525,7405398912,43,Male,North west,I generally do not follow basketball, , , , , , ,Neither likely nor unlikely,Somewhat likely, ,No change, ,No,No,No,Yes,No,No,Attend a game in person,Because it is Italy's team in the league,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,20.000€ to 24.999€ per year,Milano,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,I feel neutral towards AC Milan,No,No,No,No,No,No,No,No,No,No,Yes,No,Inter Milan Fan,35-54,"0-24,999€",Milan,Unaware, ,1.023529412
526,7405606134,25,Female,Islands,I generally do not follow basketball, , , , , , ,Somewhat unlikely,Somewhat unlikely, ,No change, ,No,No,No,No,No,Yes, ,Because it is affiliated with AC Milan,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Prefer not to answer,Milano,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,"I consider myself an AC Milan supporter, but not a hardcore one",No,No,No,No,No,No,Yes,No,No,No,No,No,AC Milan Fan,18-34, ,Milan,Unaware, ,0.920240964
527,7405895764,51,Female,North west,I generally do not follow basketball, , , , , , ,Somewhat likely,Somewhat likely, ,Moderately increase my interest,Because it feels culturally relevant to Milan,Yes,No,No,No,No,No,Watch games via free TV or streaming,Because it is Italy's team in the league,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,60.000€ to 69.999€ per year,Milano,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,I feel neutral towards AC Milan,No,Yes,No,No,Yes,No,No,No,No,No,No,No,Other Serie A Fan,35-54,"50,000€ +",Milan,Unaware, ,0.993939394
528,7401107236,42,Male,North west,I watch basketball occasionally,Yes,Yes,Yes,No,No,No,Very likely,Very unlikely,I don't like football branding in basketball,Decrease my interest, ,No,No,No,No,No,Yes, ,"Because it represents Milan, regardless of club",No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,40.000€ to 44.999€ per year,Milano,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,AC Milan is my club; I strongly identify as a supporter,No,No,Yes,No,No,No,Yes,No,Yes,No,Yes,No,AC Milan Fan,35-54,"25-49,999€",Milan,Overall Interested,Watcher,1.056101695
529,7403642556,24,Female,North west,I watch basketball occasionally,Yes,No,No,No,No,No,Neither likely nor unlikely,Somewhat likely, ,Moderately increase my interest,Because it gives me a reason to care about basketball,No,No,No,Yes,No,No,Attend a game in person,Because it is Italy's team in the league,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,50.000€ to 59.999€ per year,Milano,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,I feel positively towards AC Milan,No,No,Yes,No,No,No,Yes,No,Yes,Yes,No,No,Inter Milan Fan,18-34,"50,000€ +",Milan,Overall Interested,Watcher,0.966666667
530,7405847296,54,Female,North west,I generally do not follow basketball, , , , , , ,Very unlikely,Very unlikely, ,No change, ,No,No,No,No,No,Yes, ,I would not support a Milan NBA team,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Prefer not to answer,Milano,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,I feel neutral towards AC Milan,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,Inter Milan Fan,35-54, ,Milan,Unaware, ,0.966666667
531,7405705300,36,Male,North west,I watch basketball occasionally,No,Yes,Yes,No,No,No,Neither likely nor unlikely,Neither likely nor unlikely, ,No change, ,Yes,No,No,No,No,No,Watch games via free TV or streaming,I would not support a Milan NBA team,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,150.000€ and over,Milano,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,I feel negatively towards AC Milan,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Other Serie A Fan,35-54,"50,000€ +",Milan,Overall Interested,Watcher,1.004081633
532,7405750408,63,Female,North west,I watch basketball occasionally,Yes,No,No,No,No,No,Somewhat unlikely,Very unlikely,I support a different football club and therefore would be less interested,Decrease my interest, ,No,No,No,No,No,Yes, ,Because it is affiliated with AC Milan,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Don't know,Milano,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,I feel negatively towards AC Milan,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Inter Milan Fan,55+, ,Milan,Overall Interested,Watcher,0.966666667
533,7405474292,76,Female,North west,Basketball is one of my top sports,No,No,Yes,No,No,No,Somewhat likely,Somewhat likely, ,Slightly increase my interest, ,Yes,No,No,Yes,No,No,Attend a game in person,"Because it represents Milan, regardless of club",No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,Prefer not to answer,Milano,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,"I consider myself an AC Milan supporter, but not a hardcore one",No,No,Yes,No,No,No,Yes,No,No,Yes,No,No,AC Milan Fan,55+, ,Milan,Overall Interested,Watcher,0.920240964
534,7405603462,60,Female,North west,Basketball is one of my top sports,No,Yes,Yes,Yes,Yes,No,Neither likely nor unlikely,Neither likely nor unlikely, ,No change, ,Yes,No,No,Yes,No,No,Watch games via free TV or streaming,I would not support a Milan NBA team,No,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,No,30.000€ to 34.999€ per year,Milano,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,"I consider myself an AC Milan supporter, but not a hardcore one",No,No,Yes,No,No,No,Yes,No,Yes,No,Yes,No,AC Milan Fan,55+,"25-49,999€",Milan,Overall Interested,Watcher,0.920240964
535,7405844422,23,Male,North west,Basketball is one of my top sports,Yes,Yes,Yes,Yes,No,No,Somewhat likely,Somewhat unlikely,I support a different football club and therefore would be less interested,No change, ,No,No,No,No,No,Yes, ,Because it is Italy's team in the league,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,100.000€ to 149.999€ per year,Milano,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,I feel neutral towards AC Milan,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Other Serie A Fan,18-34,"50,000€ +",Milan,Overall Interested,Watcher,1.004081633
